Show Code,Date,People,Media Type,URL,Title,Desc
169,1/11/1999,Michael J. Fox,4,http://www.cc.com/episodes/12uylx/the-daily-show-with-jon-stewart-january-11--1999---michael-j--fox-season-3-ep-03075,,
169,1/12/1999,Sandra Bernhard,4,http://www.cc.com/episodes/dffi4d/the-daily-show-with-jon-stewart-january-12--1999---sandra-bernhard-season-3-ep-03076,,
169,1/13/1999,Tracey Ullman,4,http://www.cc.com/episodes/a0oxjr/the-daily-show-with-jon-stewart-january-13--1999---tracey-ullman-season-3-ep-03077,,
169,1/14/1999,Gillian Anderson,4,http://www.cc.com/episodes/eehokz/the-daily-show-with-jon-stewart-january-14--1999---gillian-anderson-season-3-ep-03078,,
169,1/18/1999,David Alan Grier,4,http://www.cc.com/episodes/zd4sqy/the-daily-show-with-jon-stewart-january-18--1999---david-alan-grier-season-3-ep-03079,,
169,1/19/1999,William Baldwin,4,http://www.cc.com/episodes/oqc42x/the-daily-show-with-jon-stewart-january-19--1999---william-baldwin-season-3-ep-03080,,
169,1/20/1999,Michael Stipe,4,http://www.cc.com/episodes/ebqmvf/the-daily-show-with-jon-stewart-january-20--1999---michael-stipe-season-3-ep-03081,,
169,1/21/1999,Carmen Electra,4,http://www.cc.com/episodes/8ihg71/the-daily-show-with-jon-stewart-january-21--1999---carmen-electra-season-3-ep-03082,,
169,1/25/1999,Matthew Lillard,4,http://www.cc.com/episodes/4g5e84/the-daily-show-with-jon-stewart-january-25--1999---matthew-lillard-season-3-ep-03083,,
169,1/26/1999,David Cross,4,http://www.cc.com/episodes/39t89t/the-daily-show-with-jon-stewart-january-26--1999---david-cross-season-3-ep-03084,,
169,1/27/1999,Yasmine Bleeth,4,http://www.cc.com/video-clips/4x2mya/the-daily-show-with-jon-stewart-yasmine-bleeth,,
169,1/28/1999,DL Hughley,4,http://www.cc.com/episodes/ernkq1/the-daily-show-with-jon-stewart-january-28--1999---dl-hughley-season-3-ep-03086,,
169,2/1/1999,George Carlin,4,http://www.cc.com/episodes/4bahuh/the-daily-show-with-jon-stewart-february-1--1999---george-carlin-season-3-ep-03087,,
169,2/2/1999,Dave Foley,4,http://www.cc.com/episodes/98zv7a/the-daily-show-with-jon-stewart-february-2--1999---dave-foley-season-3-ep-03088,,
169,2/3/1999,Kellie Martin,4,http://www.cc.com/episodes/8gfd6m/the-daily-show-with-jon-stewart-february-3--1999---kellie-martin-season-3-ep-03089,,
169,2/4/1999,Jerry O'Connell,4,http://www.cc.com/episodes/0ach38/the-daily-show-with-jon-stewart-february-15--1999---jerry-o-connell-season-3-ep-03090,,
169,2/8/1999,Melissa Gilbert,4,http://www.cc.com/episodes/89fv8i/the-daily-show-with-jon-stewart-february-8--1999---melissa-gilbert-season-3-ep-03091,,
169,2/9/1999,Brendan Fraser,4,http://www.cc.com/episodes/jrms03/the-daily-show-with-jon-stewart-february-9--1999---brendan-fraser-season-3-ep-03092,,
169,2/10/1999,Pamela Anderson Lee|Molly Culver | Natalie Raitano,4,http://www.cc.com/episodes/zzag3c/the-daily-show-with-jon-stewart-february-19--1999---pamela-anderson-lee--molly-culver---natalie-raitano-season-3-ep-03093,,
169,2/11/1999,Daniel Stern,4,http://www.cc.com/episodes/506w65/the-daily-show-with-jon-stewart-february-11--1999---daniel-stern-season-3-ep-03094,,
169,2/16/1999,Melina Kanakaredes,4,http://www.cc.com/episodes/gnll5m/the-daily-show-with-jon-stewart-february-16--1999---melina-kanakaredes-season-3-ep-03095,,
169,2/17/1999,Ed McMahon,4,http://www.cc.com/episodes/x3n6m0/the-daily-show-with-jon-stewart-feburary-17--1999---ed-mcmahon-season-3-ep-03096,,
169,2/18/1999,Mike Judge,4,http://www.cc.com/episodes/sq6tce/the-daily-show-with-jon-stewart-february-17--1999---mike-judge-season-3-ep-03097,,
169,3/1/1999,John Tesh,4,http://www.cc.com/episodes/yt8gb4/the-daily-show-with-jon-stewart-march-1--1999---john-tesh-season-3-ep-03098,,
169,3/2/1999,Eric McCormack,4,http://www.cc.com/episodes/5emfuk/the-daily-show-with-jon-stewart-march-2--1999---eric-mccormack-season-3-ep-03099,,
169,3/3/1999,Jeri Ryan,4,http://www.cc.com/episodes/o3ogv2/the-daily-show-with-jon-stewart-march-3--1999---jeri-ryan-season-3-ep-03100,,
169,3/4/1999,Ryan Phillippe,4,http://www.cc.com/episodes/73wmvk/the-daily-show-with-jon-stewart-march-4--1999---ryan-phillippe-season-3-ep-03101,,
169,3/8/1999,Ian McKellen,4,http://www.cc.com/episodes/tlk3er/the-daily-show-with-jon-stewart-march-8--1999---ian-mckellen-season-3-ep-03102,,
169,3/9/1999,Jon Voight,4,http://www.cc.com/episodes/dytohc/the-daily-show-with-jon-stewart-march-9--1999---jon-voight-season-3-ep-03103,,
169,3/10/1999,Sammy Hagar,4,http://www.cc.com/episodes/ep39c6/the-daily-show-with-jon-stewart-march-10--1999---sammy-hagar-season-3-ep-03104,,
169,3/11/1999,Hootie and the Blowfish,4,http://www.cc.com/episodes/hhbdrb/the-daily-show-with-jon-stewart-march-11--1999---hootie-and-the-blowfish-season-3-ep-03105,,
169,3/15/1999,Peter Krause,4,http://www.cc.com/episodes/fg2sb8/the-daily-show-with-jon-stewart-march-15--1999---peter-krause-season-3-ep-03106,,
169,3/16/1999,Chris Isaak,4,http://www.cc.com/episodes/4lrnny/the-daily-show-with-jon-stewart-march-16--1999---chris-isaak-season-3-ep-03107,,
169,3/17/1999,John Larroquette,4,http://www.cc.com/episodes/ohqp0l/the-daily-show-with-jon-stewart-march-17--1999---john-larroquette-season-3-ep-03108,,
169,3/18/1999,Joseph Gordon-Levitt,4,http://www.cc.com/episodes/bragch/the-daily-show-with-jon-stewart-march-18--1999---joseph-gordon-levitt-season-3-ep-03109,,
169,3/22/1999,Jennifer Grey,4,http://www.cc.com/episodes/4nmdet/the-daily-show-with-jon-stewart-march-22--1999---jennifer-grey-season-3-ep-03110,,
169,3/23/1999,Norm Macdonald,4,http://www.cc.com/episodes/pbmtrr/the-daily-show-with-jon-stewart-march-23--1999---norm-macdonald-season-3-ep-03111,,
169,3/24/1999,Sandra Bullock,4,http://www.cc.com/episodes/mf1ukk/the-daily-show-with-jon-stewart-march-24--1999---sandra-bullock-season-3-ep-03112,,
169,3/25/1999,Janine Turner,4,http://www.cc.com/episodes/m9tt9a/the-daily-show-with-jon-stewart-march-25--1999---janine-turner-season-3-ep-03113,,
169,3/29/1999,Ron Howard,4,http://www.cc.com/episodes/40onxb/the-daily-show-with-jon-stewart-march-29--1999---ron-howard-season-3-ep-03114,,
169,3/30/1999,Omar Epps,4,http://www.cc.com/episodes/djil0k/the-daily-show-with-jon-stewart-march-30--1999---omar-epps-season-3-ep-03115,,
169,3/31/1999,Diane Lane,4,http://www.cc.com/episodes/kw3ltv/the-daily-show-with-jon-stewart-march-31--1999---diane-lane-season-3-ep-03116,,
169,4/1/1999,Stephen Baldwin,4,http://www.cc.com/episodes/i0cwv3/the-daily-show-with-jon-stewart-april-1--1999---stephen-baldwin-season-3-ep-03117,,
169,4/12/1999,Ernie Hudson,4,http://www.cc.com/episodes/l9vg54/the-daily-show-with-jon-stewart-april-12--1999---ernie-hudson-season-3-ep-03118,,
169,4/13/1999,Josh Charles,4,http://www.cc.com/episodes/c98306/the-daily-show-with-jon-stewart-april-13--1999---josh-charles-season-3-ep-03119,,
169,4/14/1999,Jackie Chan,4,http://www.cc.com/episodes/4mbx3a/the-daily-show-with-jon-stewart-april-14--1999---jackie-chan-season-3-ep-03120,,
169,4/15/1999,Marlee Matlin,4,http://www.cc.com/episodes/oyomx1/the-daily-show-with-jon-stewart-april-15--1999---marlee-matlin-season-3-ep-03121,,
169,4/19/1999,Sharon Lawrence,4,http://www.cc.com/episodes/atu4oq/the-daily-show-with-jon-stewart-april-19--1999---sharon-lawrence-season-3-ep-03122,,
169,4/20/1999,Rob Estes,4,http://www.cc.com/episodes/3561f9/the-daily-show-with-jon-stewart-april-20--1999---rob-estes-season-3-ep-03123,,
169,4/21/1999,Angelina Jolie,4,http://www.cc.com/episodes/b0kajv/the-daily-show-with-jon-stewart-april-21--1999---angelina-jolie-season-3-ep-03124,,
169,4/22/1999,David Spade,4,http://www.cc.com/episodes/a5l9k5/the-daily-show-with-jon-stewart-april-22--1999---david-spade-season-3-ep-03125,,
169,4/26/1999,Seth Green,4,http://www.cc.com/episodes/foemfm/the-daily-show-with-jon-stewart-april-26--1999---seth-green-season-3-ep-03126,,
169,4/27/1999,Sheryl Lee Ralph,4,http://www.cc.com/episodes/uk44hm/the-daily-show-with-jon-stewart-april-27--1999---sheryl-lee-ralph-season-3-ep-03127,,
169,4/28/1999,Chris Robinson,4,http://www.cc.com/episodes/udhaut/the-daily-show-with-jon-stewart-april-28--1999---chris-robinson-season-3-ep-03128,,
169,4/29/1999,Joy Behar,4,http://www.cc.com/episodes/6vj8s3/the-daily-show-with-jon-stewart-april-29--1999---joy-behar-season-3-ep-03129,,
169,5/10/1999,Thomas Gibson,4,http://www.cc.com/episodes/3tpy91/the-daily-show-with-jon-stewart-may-10--1999---thomas-gibson-season-3-ep-03130,,
169,5/11/1999,Paula Cale,4,http://www.cc.com/episodes/f3fry9/the-daily-show-with-jon-stewart-may-11--1999---paula-cale-season-3-ep-03131,,
169,5/12/1999,Ted Danson,4,http://www.cc.com/episodes/x54z4p/the-daily-show-with-jon-stewart-may-12--1999---ted-danson-season-3-ep-03132,,
169,5/13/1999,Esai Morales,4,http://www.cc.com/episodes/sxerln/the-daily-show-with-jon-stewart-may-13--1999---esai-morales-season-3-ep-03133,,
169,5/17/1999,Jane Seymour,4,http://www.cc.com/episodes/mlc7b1/the-daily-show-with-jon-stewart-may-17--1999---jane-seymour-season-3-ep-03134,,
169,5/18/1999,Robert Schimmel,4,http://www.cc.com/episodes/p8yzfz/the-daily-show-with-jon-stewart-may-18--1999---robert-schimmel-season-3-ep-03135,,
169,5/19/1999,Camryn Manheim,4,http://www.cc.com/episodes/u4m9el/the-daily-show-with-jon-stewart-may-19--1999---camryn-manheim-season-3-ep-03136,,
169,5/20/1999,Ray Romano,4,http://www.cc.com/episodes/y02ye3/the-daily-show-with-jon-stewart-may-20--1999---ray-romano-season-3-ep-03137,,
169,5/24/1999,Patricia Richardson,4,http://www.cc.com/episodes/qh0k30/the-daily-show-with-jon-stewart-may-24--1999---patricia-richardson-season-3-ep-03138,,
169,5/25/1999,Suzanne Somers,4,http://www.cc.com/episodes/yj1ye5/the-daily-show-with-jon-stewart-may-25--1999---suzanne-somers-season-3-ep-03139,,
169,5/26/1999,Natalie Portman,4,http://www.cc.com/episodes/cyfizd/the-daily-show-with-jon-stewart-may-26--1999---natalie-portman-season-3-ep-03140,,
