Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,
199,5/16/07,Marco Pierre White,1,https://www.youtube.com/watch?v=7bjQy0S6Un4&index=356&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Marco Pierre White: ""The Devil in the Kitchen"" | Talks at Google",
199,5/25/07,Elizabeth Gilbert,1,https://www.youtube.com/watch?v=5bhVDIe42to&index=345&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Elizabeth Gilbert: ""Eat, Pray, Love"" | Talks at Google",
199,8/13/07,James Randi,1,https://www.youtube.com/watch?v=MTPj9VlNzQ0&index=347&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"James Randi, The Amazing Randi | Talks at Google",
199,10/5/07,Steven Pinker,1,https://www.youtube.com/watch?v=hBpetDxIEMU&index=346&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Steven Pinker: ""The Stuff of Thought"" | Talks at Google",
199,11/12/07,Daniel Goleman,1,https://www.youtube.com/watch?v=-hoo_dIOP8k&index=338&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Daniel Goleman: ""Social Intelligence"" | Talks at Google",
199,11/21/07,Anthony Bourdain,1,https://www.youtube.com/watch?v=WfyxJifcAX8&index=349&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,Anthony Bourdain 2007 | Talks at Google,
199,12/11/07,Randall Munroe,1,https://www.youtube.com/watch?v=zJOS0sV2a24&index=339&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Randall Munroe: ""xkcd"" | Talks at Google",
199,12/18/07,Paul Krugman,1,https://www.youtube.com/watch?v=4XhvG_fD0HA&index=350&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Paul Krugman: ""The Conscience of a Liberal"" | Talks at Google",
199,3/6/08,Michael Pollan,1,https://www.youtube.com/watch?v=I-t-7lTw6mA&index=352&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Michael Pollan: ""In Defense of Food"" | Talks at Google",
199,3/18/08,Tim Keller,1,https://www.youtube.com/watch?v=Kxup3OS5ZhQ&index=344&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Tim Keller: ""The Reason for God"" | Talks at Google",
199,3/28/08,Garr Reynolds,1,https://www.youtube.com/watch?v=DZ2vtQCESpk&index=340&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Garr Reynolds: ""Presentaiton Zen"" | Talks at Google",
199,5/28/08,Leonard Mlodinow,1,https://www.youtube.com/watch?v=F0sLuRsu1Do&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=155,,Authors@Google: Leonard Mlodinow,
199,5/29/08,Daphne Miller,1,https://www.youtube.com/watch?v=rCnlHXGAJVE&index=341&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Daphne Miller: ""The Jungle Effect"" | Talks at Google",
199,5/30/08,Richard Thaler,1,https://www.youtube.com/watch?v=Dz9K25ECIpU&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=154,,Authors@google: Richard Thaler,
199,6/3/08,Simon Critchley,1,https://www.youtube.com/watch?v=VZLl5e1HfWc&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=152,,Authors@Google: Simon Critchley,
199,6/3/08,Dan Roam,1,https://www.youtube.com/watch?v=kuA_yz7aTo0&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=153,,Authors@Google: Dan Roam,
199,6/4/08,Dr. John Ratey,1,https://www.youtube.com/watch?v=Bmc0ERKfjP0&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=151,,Authors@Google: Dr. John Ratey,
199,6/12/08,Mario Batali,1,https://www.youtube.com/watch?v=WNBRQm4I760&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=150,,Mario Batali | Chefs at Google,
199,6/16/08,Salman Rushdie,1,https://www.youtube.com/watch?v=RBPwUYsrIqE&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=148,,Authors@Google: Salman Rushdie,
199,6/16/08,Cory Doctorow,1,https://www.youtube.com/watch?v=-E2MHeTGOOM&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=149,,Authors@Google: Cory Doctorow,
199,6/19/08,Salman Rushdie,1,https://www.youtube.com/watch?v=Ah9PyZNb4F8&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=147,,Authors@Google: Salman Rushdie,
199,6/20/08,Sam Gosling,1,https://www.youtube.com/watch?v=dllhXD6iTRE&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=146,,Authors@google: Sam Gosling,
199,7/16/08,Kiran Bedi,1,https://www.youtube.com/watch?v=9eNP5btllIA&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=145,,Authors@Google: Kiran Bedi,
199,7/18/08,Stan Lee,1,https://www.youtube.com/watch?v=QV9TYbDBgo8&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=144,,Authors@Google: Stan Lee,
