Show,Date,Person,Media Type,Media Value,,Title,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Eric Schmidt,1,zOg_8cZSU8A,,"Eric Schmidt, Google - Tomorrow's World - Clip",,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Andrew McAfee,1,7bPrmoOn8ng,,The Second Machine Age,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Dambisa Moyo,1,USKHuIcRmMg,,Tomorrow's World,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Yann Arthus-Bertrand,1,bp1If9UrTIs,,The World Around Us,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Alma Deutscher,1,T3YlcHyF9dc,,The World Around Us,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Dame Stephanie Shirley,1,k0BLRVwI054,,A World of Opportunity,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Rene Redzepi,1,R9V6_rBD7aQ,,A World of Opportunity,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Armando Iannucci,1,8kjb9gTbyYc,,The World At Our Fingertips,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Noreena Hertz,1,WVAKScDrtNw,,The World At Our Fingertips,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Douglas Coupland,1,5B28BgINtik,,The Story of Search,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Tony Fadell,1,Y2M2oicoiwQ,,The Thoughtful Home,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Tom Hulme,1,yYt-7vijXYM,,Startup Europe,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Frédéric Mazzella,1,gZdN7baQjO8,,Startup Europe,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Torsten Reil,1,RJ7RCkVn4Gs,,Startup Europe,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Alain de Botton,1,BaNZ-TMGN3E,,The Theory of Everything,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Stephen Hawking,1,a1X5x3OGduc,,The Theory of Everything,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,David Beckham,1,EWh4iLy8OoU,,7 Ways to Change the World,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Nile Rogers,1,nIjQRU6fYc4,,The World Around Us,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Jane Ní Dhulchaointigh,1,2WaHYKHzHZ0,,Startup Europe,,,,,,,,,,,,,,,,,,,,,
219,5/1/15,Demis Hassabis,1,rbsqaJwpu6A,,The Theory of Everything,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Al Roth,1,9j-MmYir2nE,,The Economic Marketplace of the Kidney Transplant Exchange,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Zeitgeist '14,1,JBAa3TtrzVc,,Zeitgeist 2014 Highlights,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Bayard Winthrop,1,DwSRAHkfIUU,,Building the Next Great Apparel Brand,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,J. Craig Venter,1,MUVcU_VfmuA,,DNA: The Software of Life,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Laura Tyson,1,F8ax5L8WK8E,,Balancing Innovative & Economic Growth,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Eric Schmidt,1,RRnexLG2VTc,,"The Interconnected, Improving World",,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Martine Rothblatt,1,laZ_NqWngVQ,,Health Advances and Getting Past Impossible,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Bob Roth,1,BruLkukshNU,,Relieving The World’s Stress with Meditation,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Kevin Richardson,1,e6v_C3NMgIQ,,The Art of Living With Lions,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Meredith Perry,1,AMvV8P5S3I4,,Ultrasonic Wireless Charging,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Kevin Pearce,1,Ia1x1AjCdag,,Finding Purpose in Adversity,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,John Noseworthy,1,0A3Ela3W-2Y,,"Cooperative Efforts, Healthcare for All",,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Kimberley Motley,1,XyfKipIeOiI,,Building a Global Human Rights Economy,,,,,,,,,,,,,,,,,,,,,
219,9/1/14,Michael Morton,1,I4L4azHwWrg,,Finding and Sharing Hope,,,,,,,,,,,,,,,,,,,,,
