Show Code,Date,People,Media Type,Media Code,Media Title,Media Description
226,9/12/2015,Sam Harris,1,k6yNBSxQ_tE,Episode 101,
226,9/18/2015,Cara Santa Maria,1,8oe5uTou7QU,Episode 102,
226,9/25/2015,Jimmy Dore| Felicia Michaels,1,uZUSqVu0CQA,Episode 103,
226,9/30/2015,Maajid Nawaz,1,1CYuwBcPObQ,Episode 104,
226,10/8/2015,Milo Yiannopoulos,1,1FvADt-mJ_o,Episode 105,
226,10/16/2015,Michael Steele,1,j-RL1ipMrcY,Episode 106,
226,10/23/2015,Kelly Carlin,1,grgOLmmD2NY,Episode 107,
226,10/30/2015,Ayaan Hirsi Ali,1,Rw12EEamFBc,Episode 108,
226,11/6/2015,Douglas Murray,1,oX914A6dbbs,Episode 109,
226,11/13/2015,Faisal Saeed Al Mutar,1,PmxzJr91Qo0,Episode 110,
226,11/20/2015,Sarah Haider,1,#NAME?,Episode 111,
226,11/27/2015,Christina Hoff Sommers,1,2RNaspc5Ep4,Episode 112,
226,12/11/2015,Nick Cohen,1,h5fXEp4O6Lo,Episode 113,
226,12/18/2015,Peter Boghossian,1,AnDZ4ERVSGo,Episode 114,
226,12/24/2015,Ali Rizvi,1,d0YvEDjRcU4,Episode 115,
