Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,Media Description
99,12/11/14,Shantanu Starick,2,112712949,,Shantanu Starick: How I Went Two Years Without Spending Any Money - 99u,
99,11/28/14,Joanne Wilson,2,110585784,,Joanne Wilson: The Magic of Dreaming Big - 99u,
99,11/14/14,Seth Godin,2,111658420,,Seth Godin: Keep Making a Ruckus - 99u,
99,11/7/14,Hank Willis Thomas,2,110585783,,Hank Willis Thomas: Artists Should Work in Society’s Subconscious - 99u,
99,10/31/14,Andy Didorosi,2,110583590,,Andy Didorosi: What Detroit Taught Me about Getting Things Done - 99u,
99,10/14/14,Oliver Burkeman,2,101751706,,Oliver Burkeman: The Negative Path to Happiness and Success - 99u,
99,10/3/14,Aaron Dignan,2,101751707,,Aaron Dignan: How to Think like a Startup - 99u,
99,9/26/14,Susan Gregg Koger,2,103460716,,Susan Gregg Koger: Being a Rookie Is an Asset - 99u,
99,9/19/14,Jason Fried|Scott Heiferman,2,103460648,,Jason Fried & Scott Heiferman: Building Businesses That Last - 99u,
99,8/22/14,Robert Brunner,2,104009337,,Robert Brunner: What All Great Design Companies Know - 99u,
99,8/8/14,Mark Ecko,2,102864535,,Mark Ecko: Embrace the Mess - 99u,
99,8/1/14,Joshua Klein,2,101750865,,Joshua Klein: Invest in Your Network & Your Network Will Invest in You - 99u,
99,7/18/14,Wendy MacNaughton,2,101033415,,Wendy MacNaughton: Listen to Strangers - 99u,
99,7/10/14,John Maeda,2,100229100,,John Maeda: Fall in Love with Technology through Great Design - 99u,
99,7/3/14,Tony Schwartz,2,99360138,,"Tony Schwartz: To Solve Big Problems, Change Your Process - 99u",
99,6/26/14,Tina Roth Eisenberg,2,99242101,,"Tina Roth Eisenberg: Don’t Complain, Create - 99u",
99,6/18/14,Ben Shaffer,2,98550935,,Ben Shaffer: Innovation Means Building a Safe Space for Failure - 99u,
99,6/13/14,Sarah Lewis,2,98084209,,Sarah Lewis: Find Your Private Domain - 99u,
99,6/2/14,Krista Donaldson,2,95985671,,Krista Donaldson: Designing Products That Change the World - 99u,
99,5/28/14,Jeff Sheng,2,95775472,,"Jeff Sheng: Don’t Ask, Don’t Tell & Creativity’s Role in Driving Social Change - 99u",
99,5/21/14,James Victore|Ben Barry,2,92333973,,James Victore and Ben Barry: How to Build Your Own Career - 99u,
99,4/25/14,Scott Belsky,2,92560627,,Scott Belsky: What Are You Willing to Be Bad At? - 99u,
99,4/18/14,Neil Blumenthal,2,92335730,,Neil Blumenthal: 3 Lessons Learned From Building Warby Parker - 99u,
99,4/11/14,Michael Wolff,2,91667183,,Michael Wolff: Never Stop Asking “Why?” - 99u,
99,4/4/14,Kathryn Minshew,2,90762713,,Kathryn Minshew: 7 Classic Startup Founder Mistakes (And How to Avoid Them) - 99u,
99,3/28/14,Alexis Ohanian,2,90244076,,Alexis Ohanian: Sucking is the First Step to Being Sorta Good at Something - 99u,
99,3/20/14,Ramit Sethi,2,86126020,,Ramit Sethi: How to Charge What You’re Worth - 99u,
99,3/14/14,Allison Johnson,2,88907392,,Allison Johnson: We Have Enough Companies Like Apple - 99u,
99,3/6/14,Aaron Dignan,2,88296842,,"Aaron Dignan: Digital Isn’t Software, It’s a Mindset - 99u",
